user,text
LauraLaLuna1,"@JoeBiden @JoeBiden What are you talking about? You wouldn't be President, Harris would. But it doesn't matter beca… https://t.co/vVtqUFvGmu"
freitas_amber,@JoeBiden Yes! Save us!
JodyDaGrinder,"@JoeBiden That billboard should have said:  ""Joe Biden: All for my family"""
lundrigan_rick,@JoeBiden You should put up a sign that states i have been a 47 year corrupt politician that has been lying and ste… https://t.co/Iv7dKXxEt2
GiancarloHer16,@JoeBiden And it took you 47 years to know what to do? No thank you. #Maga2020 🇺🇸
hectorfl72,@JoeBiden 47 years ago?
RJM643,"@JoeBiden Denounce Antifa, Joe."
janelle_noble,@JoeBiden In 47 years what have you done for those families? Not a damn thing.
jackt1,@JoeBiden https://t.co/2TZrygg41x
Iam24747867437,"@JoeBiden Joe, why do Democrat-run states have 40% higher unemployment rates than Republican-run states?  Why are d… https://t.co/FCxHDotcfH"
HappyPreppers,"@JoeBiden And by that you mean all those RADICAL LEFT Socialist/Marxists, like Sanders, Omarried her brother, Pocah… https://t.co/kHuVlOIIf1"
TommyJShort,@JoeBiden 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Trumplnfinity,@JoeBiden https://t.co/AwFIYSenq5
Halsey_lilac,@JoeBiden Except for the black children you wanted to bus out.  🤬 https://t.co/U20QL8umeT
SnowSisko,@JoeBiden Anyone remember in Joe's early years in politics where he consistently lied about his education? Anyone r… https://t.co/gv2rftRdDp
CloudsSolace,"@JoeBiden Oh, so like Trump?"
Kathy27785347,@JoeBiden It wound up being FOR YOUR FAMILY ONLY !!!!!!!!!
1Griff76,@JoeBiden You mean Joe Biden for your own family.  You haven’t done anything positive for America
SchoolofFishs,@JoeBiden Not my President
2_texan,"@JoeBiden What, 180 years ago?"
icantbefrench,"@JoeBiden You haven’t done shit for the American public in 47 years. I ask you again, ‘Mr. morality for the public’… https://t.co/QssM2kgOu3"
heather85997128,@JoeBiden You weren’t for ALL families were you Joe? https://t.co/5X0fwoy39K
WenneckP,@JoeBiden There were billboards 180 years ago?
777_Doug_777,@JoeBiden https://t.co/gLedynarz9
JDWAustinTX,@JoeBiden 512-463-2000 Texas Governor Greg Abbott Please call and tell him we won't stand for voter suppression. An… https://t.co/Z2kV7XUfOy
Sopis007,@JoeBiden https://t.co/W5uQ8WdSR0
Julia48395848,"@JoeBiden And this sir, is why you deserve to win. Let’s get this Joe"
kurt50716354,@JoeBiden I am not voting for you unless you promise to actually cut taxes and promise to leave the Supreme Court at nine.
Halsey_lilac,@JoeBiden https://t.co/cEMH8BI1F2
LindenGroveTO,@JoeBiden Even the indigenous and black Americans? You seem like you simply want to bring the time back to the 90's… https://t.co/Qp29XbTakE
CurtVigrass,@JoeBiden For people that want to keep you away from their healthcare too?
christyluther88,@JoeBiden Phuck You
Sheri86939231,@JoeBiden Go night night Joe . Tell your team they did a fine job @ wiring you 🤙🇺🇲💪🏼
gratescott06,@JoeBiden China will be happy to have you! Let us chip in for your plane ticket! https://t.co/kulvoHtaZ6
FrankieLax72,@JoeBiden 48 years ago? Term limits please
magalodon_trump,@JoeBiden 180 years ago?
ChapmanMktg,@JoeBiden https://t.co/4OmdBxv56t
TeeLee2,@JoeBiden Your time in office has certainly benefited your own family :/
VikingItalian,"@JoeBiden I think you mean, ""Joe Biden: For all in his family""..."
maynard_goat,@JoeBiden https://t.co/qVpGK1I7sL
atruckerguy,@JoeBiden https://t.co/zM6lYvVOsO
BrendaM47824549,"@JoeBiden It should of said "" Joe Biden for his own family"""
MrMarkus1984,"@JoeBiden And you have done ZERO for any family, other than your own.  Where is millionaire Hunter who used your po… https://t.co/9ekat3VfuY"
JrJrembertjr,@JoeBiden https://t.co/M6SLOdLZWy
crkeller39,@JoeBiden Families are struggling.  People have utilities that have been off for months!  Imagine!  Prove it by pas… https://t.co/U4SgqnhQFI
natoshisakamato,"@JoeBiden I remember, 180 years ago. Ok continue https://t.co/LBhoZwfAxs"
ChapmanMktg,@JoeBiden Folks!
sandy06906,"@JoeBiden And this is what cracks me up, when I hear them call you radical, socialist,  you have been a moderate as long as I can remember."
11Mema7,"@JoeBiden Suddenly after 47 years you’re interested in helping the American people, You’re full of it!!!"
tasykw,@JoeBiden Maybe try babysitter for all your families.  You can sniff their hair.
EricWilke9,"@JoeBiden Joe,  when you and Kamala win, please work with the Democratic Congress/Senate to make the Presidential E… https://t.co/c3XexnUDOE"
jjoeaz,@JoeBiden Ok ANTIFA JOE
Jaduzzy74,@JoeBiden https://t.co/dScXyiZhsl
MBP20202,@JoeBiden Class act Joe. Class act.
Lynn45895642,"@JoeBiden That'll be a Nice change from the current ""It's only about me"" and my Grifter family!  #BidenHarris2020"
PigletDragon,@JoeBiden Your actions and words in the last 47 years say otherwise sir
JackDaniels1027,@JoeBiden WHAT A LYING DEMON
jewelzz45,"@JoeBiden Tell that to your radical, psycho running mate. Threatening the lives of millions of Americans because we… https://t.co/3cbPF2VUxJ"
Maier12345,"@JoeBiden GO, Joe-Kamala! 👏🏻👏🏻👏🏻🇺🇸🇺🇸🇺🇸  #GoJoeAndKamala #VoteBlueToSaveAmerica2020"
Forest_StarIII,@JoeBiden It should have said “Joe Biden 💰for all his family” https://t.co/FJPHIpWjLS
AllenHaislip,"@JoeBiden Not my President!! Sound familiar??? It should, that's what y'all are promoting out there!!"
SallyKag51,@JoeBiden https://t.co/IGpumRxmnB
sevensuper10,@JoeBiden And then you screwed all of our families. Thanks but 47 years was 47 to many
shills_j,@JoeBiden Just curious how many Catholics will support federal funded abortions....
kylewatson100,@JoeBiden Then why is it your own family is the only one who has been helped by your “public” service? #WheresHunter
NDallas87,"@JoeBiden So, Mr. Biden, did you touch children in each of our families?"
Brian44Kelly,@JoeBiden Hope the billboard was on a busy stage coach route.
Darlingnoire,"@JoeBiden Sure. Except the ones overrun with anarchists that have killed and destroyed, who you helped fund their b… https://t.co/pfNi0EFtgZ"
Jeannie5554,@JoeBiden Don't throw the words around about Trump cutting Social Security and Medicare talk to us all. Remind reti… https://t.co/phymjJnd0C
mrmikey1984,@JoeBiden I’m yep... just like every other US President has been everybody’s President. Good insight
mcconnell_paul,@JoeBiden https://t.co/NlJ0CjSghU
TheBigK47998548,@JoeBiden https://t.co/yRYlMcGqbx
SuSu162020,@JoeBiden Have you told Kamala?  She said she is coming after all of us who don’t vote for you.
NoVoracity,"@JoeBiden Oh hey, what about Tara Reid and that other girl in 2014? Do they count too?"
wpeters3921,@JoeBiden I just puked all the way in my own mouth a little bit Joe's staff.  #AllLivesMatter #Trump2020
srollinsontc,@JoeBiden No your family your son who admitted he didn’t know a think sbout the business he was on the board   Just… https://t.co/dWYchhjGVp
hrddonna,@JoeBiden No Pelosi and the squad would never let you.
shellie647,"@JoeBiden Joe BIDEN 2020  ---&gt;  ""YOU AINT BLACK""   I'm not voting for you because YOU ain't black!"
Amirali_a59,"@JoeBiden Joe, Joe🗣  Deception is enough❗ You and your Democratic friends were in the White House for eight years a… https://t.co/KtqsLDh4KM"
solomon69815629,@JoeBiden Joe Biden; for China!
Inthemi87692744,"@JoeBiden Joe Biden on the death of his dear friend, former Exalted Cyclops of the Ku Klux Klan, Robert Byrd: “a ve… https://t.co/LKZDiqclqX"
Iam24747867437,"@JoeBiden It's a good thing you aren't typing these out, cause they'd end up reading like the word salad that comes outta your mouth."
Mikeymike4545,"@JoeBiden If you win the election I'll join a resistance, just like all the idiotic Trump resisters"
TheRickyPaolini,@JoeBiden And in 47 years you’ve done nothing for “families” in America except your own.
Penelopeleahbr,@JoeBiden That is what a President should do!!!
LaprocinaSue,@JoeBiden Your squad said they would come after us if you win.☹️🙄😷
WondaSa08762447,"@JoeBiden Now it’s Biden for white supremest, terrorist organizations, burning those families homes and tells the b… https://t.co/YLTC3xjgNE"
HugoSan20261999,@JoeBiden Is this coming from the same person who was talking in your ear?
dogentao,@JoeBiden I cannot believe you wrote that. But keep hiding hiding joe Biden. If you won the debate why change the r… https://t.co/aYmzGfunaF
kohtakangas,@JoeBiden https://t.co/0xVtLOW4k6 https://t.co/hmY16zsUhV
RahulAhamed,@JoeBiden U win
MyDogIsSmarter_,"@JoeBiden @realDonaldTrump  in debate on @JoeBiden ."".. We've done a great job. But I tell you, Joe, you could neve… https://t.co/pgHBYhdLRp"
KenBryant71,@JoeBiden We have you @JoeBiden &amp; @KamalaHarris!!
voicemyopinion2,@JoeBiden Please read this to Joe https://t.co/k7YeXOJD65
AlexNavasMusic,@JoeBiden Was that 180 years ago?
Falcore,@JoeBiden Then why do you want to play Robin Hood? Take from those that have earned it and give to those that haven’t?
peteslew,@JoeBiden Democrats complain about racism and then nominate the author of the crime bill that put millions of black… https://t.co/zgzfaFtxBd
Bella06773348,@JoeBiden Except you didn’t want your kids to go to school in the jungle Joe.
Disgoblue24,@JoeBiden Yeah YOUR family
Bo_cee_fuss,"@JoeBiden So, you've been lying as long as you can remember."
Starship2024,@JoeBiden The numbers don't lie!!!!  #Trump2020 https://t.co/q3wpXgBkqB
JoeTank1089,@JoeBiden Why do I NOT BELIEVE that!!!!
alex589754,@JoeBiden President Trump has condemn white supremacy and the KKK. The media doesn’t talk about Joe Biden praising… https://t.co/X5cHzAZfH0
DenitaKozeny,@JoeBiden Say NO to Joe. You are not what Americans want. Trump 2020🇺🇸
Jail4Trump2020,@JoeBiden https://t.co/2NKbKvJUCL
yolandallanas,@JoeBiden 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
TSnow50,@JoeBiden Except the ones that lived in “racial jungles.”
Atta60354388,@JoeBiden https://t.co/ScaC94kBwI
TheJohnigan,@JoeBiden https://t.co/wsjbdEdlRE
seriousky,@JoeBiden What a strange concept. https://t.co/k9kJZKD7RS
SuaSponte08107,@JoeBiden You mean all the way back in 1973??? 47 years in government and you are still trying to solve the same is… https://t.co/boN7leiyJb
kohtakangas,@JoeBiden https://t.co/okTN3s3oZR Sober up....
BuckStodgers,@JoeBiden @Jared_Pettinato What about the families you've split up by jailing parents for victimless crimes? Don't they matter?
GoosesChannel,@JoeBiden So the nearly half a century you've spent in politics getting rich (and you son) was just a warm up? Now… https://t.co/kOWuSnkYto
ZSoleymani1984,"@JoeBiden شما درزمان اوباما برای خانواده ها,شغل ایجاد نکردید و تعداد خانواده های طبقه ی فقیر افزایش یافت و انها در… https://t.co/tE7g03OK7k"
chicken0fthesee,@JoeBiden We can’t survive your higher taxes https://t.co/Aqk5Xjan4n
helloexilee,@JoeBiden That was like 50 years ago. Be gone.
sheri_vic,@JoeBiden Liar.
JesseAAllard,@JoeBiden https://t.co/z2qZcOSGTF
FrancoisLorenz,@JoeBiden Love 💕 you Joe
edgeofreasons,@JoeBiden #Where’s Hunter https://t.co/IlOVyXKDXn
lajara00,@JoeBiden That is what a truly president is
Jail4Trump2020,@JoeBiden https://t.co/wyxQAR6tfH
MsKaryn13,@JoeBiden Joe!!!!!   Let's GO!!! https://t.co/zx2unge85Y
kristie_zack,@JoeBiden I don’t want my taxes raised I pay enough
eflizzo,@JoeBiden Not true at all. You don't support anything Republicans want in their lives..
WriglyatWDW,"@JoeBiden When you first ran for senate, that was 180 years ago right? 🙄 Take your Geritol and go to bed Gramps. Tr… https://t.co/QZd7ajjqoS"
Sweater_Yams_,@JoeBiden We don’t want you in our families https://t.co/DAAVYXKANT
BillSaari,@JoeBiden Was that 180 years ago?
VMA2539,@JoeBiden You will never be my President. How about redistribution of the money Hunter was paid from the job you go… https://t.co/OfGD6dcIt6
Curtis17602682,@JoeBiden The hell you will. You have kept people of color down for 47 years!! You care only for your own family an… https://t.co/wowrvfKFJi
kohtakangas,@JoeBiden https://t.co/U3vmHg2ndI
iJeepThere4iAm,@JoeBiden Keep your hands and nose away from my family please. https://t.co/P4qLBNmkze
westerndragon90,@JoeBiden Joe is the right man at the right time
Anne77094254,"@JoeBiden For all our families, especially for Hunter and your brother."
PennPopPop,@JoeBiden As you are taking money from China
J94131677,@JoeBiden #Trump2020  #Trump2020LandslideVictory
BaberhamL,@JoeBiden That's simply not true.
kohtakangas,@JoeBiden https://t.co/4KvjdCQPbu
Talrodriguez222,@JoeBiden 180 years ago??????
leilaibi,@JoeBiden And how much your family made?..
CncTennessee,@JoeBiden That “just an idea” ANTIFA has some plans Joe. A lot of the like the hammer and sickle symbols &amp; Molotov… https://t.co/1ueuMd5acK
edgeofreasons,@JoeBiden https://t.co/gEDLJPfe6J
AmericanTribes,@JoeBiden Was this before are after you spoke at the kkk rally and funeral
jestrada12319,@JoeBiden Thank you Joe.  I’m so done with Trumps America.
cjl6164,"@JoeBiden Where's our 3.5 million?  Nah, you're just for your family."
DirtbagBry,@JoeBiden https://t.co/jyAyramHHl
kohtakangas,@JoeBiden https://t.co/Q5xqcCzULJ
husseinzedan16,@JoeBiden Never forget that biden made the racist crime bill against black ppl And now he’s acting like he supports them
HarifHerbie,"@JoeBiden Joe, You can fool all the people some of the time and some of the people all the time, but you cannot foo… https://t.co/5U1HA12rSY"
buttonsdanielle,@JoeBiden You have never been good for our country
Knnarf76,@JoeBiden 47 yrs of do nothing---NO TY!
NoVoracity,"@JoeBiden Now you just run for power, unless the ""people"" are black, then they're great during voting season!   Peo… https://t.co/GMlUFJ1vBF"
whisksnwhisky,@JoeBiden Because that’s how it’s bloody supposed to be. Not this petulant “President Trump” who tries to punish people for not liking him.
R25939411Sharon,@JoeBiden I’m not from China. That’s where you Loyalties lie
JerryTh62273091,@JoeBiden I'll pass TRUMP2020🇺🇸
james_98188,@JoeBiden Now THAT'S a PRESIDENT!!!
andrews_wil,"@JoeBiden Duh, come on man! That’s what every president does. Joe Biden has lost his mind"
mehixter3,@JoeBiden Including this guy. White Supremacist Who Organized Charlottesville Race Riots Endorses Joe Biden
expressions77,@JoeBiden https://t.co/qiX8vWKAIs
deplorable_jake,@JoeBiden #JoeandtheHomustGo
AntonCollins17,"@JoeBiden Aside from those savage black families you incarcerated, or the ones that wanted to ride on the same bus as white kids...."
snnort55,@JoeBiden Liar
kohtakangas,@JoeBiden Hey hey hey 👋 👋 👋 👋 👋 👋 👋 https://t.co/9jfs0lnn72
sgt_rs,@JoeBiden Utter cod shit
truman_dewey,@JoeBiden Video below from YouTube by “Black Patriot Speaks”.  Robert Byrd is a former US Senator and recruiter for… https://t.co/ONmK6pssFa
Jeannie5554,@JoeBiden Joe when you talk about Soc Security please include us Baby boomers are the largest generation ready for… https://t.co/ll6WFcv4wf
Behonestalways3,"@JoeBiden The proud boys are not a white supremacy group - their members are black, Hispanic, and Asian as well as… https://t.co/MMF180owHu"
kohtakangas,@JoeBiden https://t.co/okTN3s3oZR https://t.co/jqkNpmo4pN
JaniceISmith,@JoeBiden You will NEVER be mine! EVER
iamheavyb,@JoeBiden So why did Richard Spencer the famous white nationalist endorse Joe Biden for the 2020 presidential race?… https://t.co/ucQPeuNvG2
gdrazman,@JoeBiden What a crock. The left you use you and divide the country more than ever.
speeksoftly,@JoeBiden When you first ran for the Senate motorcars were more rare than horse drawn carriages.
tired_wun,"@JoeBiden When you first ran for senate, you were backing bussing segregation !"
Oilysubstance,@JoeBiden I'm so tired of hearing about you Joe. I mean really you haven't done anything in 47 years almost my lifetime. Just shut up
Kleeo59,@JoeBiden #GoJoe2020 #BidenHarris2020ToSaveAmerica #RidinWithBiden
Behonestalways3,@JoeBiden Jessie Jackson —  https://t.co/EJfZipV6Wq
stormchaser218,@JoeBiden In your own words......shut up man!!!  Go take a nap
Vicedi,@JoeBiden But it appears like it was 47yrs for your family only by the MILLIONS. You opposed segregation and author… https://t.co/fOzxsACoIv
Behonestalways3,@JoeBiden “RACISM IS EVIL” HE HAS CONDEMNED MANY TIMES BEFORE ON CAMERA AND IS DESIGNATING THE KKK AS A TERRORIST O… https://t.co/5Y8Jrs0EHj
maryannkahlifa,@JoeBiden Thank you sir🙌🙌🏾🙌🏻🙌🏽🙌🏿
Coborn,@JoeBiden https://t.co/ulJuwUECQ1
asurtees1,@JoeBiden Why do you always come up first crazy Joe?
BTaylorMinistry,@JoeBiden @SpeakerShinjini Guess what? It works both ways! @realDonaldTrump has been your president for the last 4… https://t.co/Dnn28K1GdH
realRonaldMcDo3,"@JoeBiden Donald Trump will copy that billboard. ""Donald Trump: For Donald Trump and select family members only"". Eric is out."
JustMsDeby,"@JoeBiden ALL of Russia, China and Ukraine ...................."
dugary12,@JoeBiden Unless they live in a jungle
kjaywilson,"@JoeBiden I’ve missed having a President of all the people, who speaks to more than just his followers."
GeeGeesHere,@JoeBiden Ya whateva
Jeff_Styles,@JoeBiden You forgot this message!
DeplorableDebRN,"@JoeBiden I'm a Republican and I really don't want you as my President. My motto is "" Love my country, love my Pres… https://t.co/pmCkIGH1eB"
BotnPaidFor,"@JoeBiden Joe Biden, and the 25 year old who does his tweets, are liars."
SunDevil31673,@JoeBiden No you won't. You're an empty vessel controlled by radicals. #LatinosForTrump
eddiej75,@JoeBiden You’ve been living off of taxpayers since I was 7 years old. I’m now 56!!! You don’t have it in you to do… https://t.co/A0lWF6vz7C
ShoalBear,@JoeBiden Are you going to be a president who will help the poor people barely surviving on SSDI?
_PanDart,@JoeBiden 😂😂 https://t.co/l1Ois6Pjd1
sickQfsatan,@JoeBiden 🤣🤣🤣🤣🤣  How about denouncing Robert bird Joe? How about denouncing kkk Joe? Robert bird? You know the guy… https://t.co/CRogCWEaxT
SheilaE41620626,@JoeBiden . . . . and for all ages. https://t.co/a2tExPfnqq
duped112,@JoeBiden They had billboards in 1972?
frankredbird,"@JoeBiden Meanwhile, your opponent is President for just one American. Himself."
pcmdo4,"@JoeBiden If you want justice work and peace, be a patriot: go and vote  #Biden for President. #Debates2020"
AnnEMos51685342,"@JoeBiden ""OUR"" being the key word. That is how you went to a scranton scapper to a multi millionaire along with yo… https://t.co/Lt84y0IfBm"
ConfusedPOLs,@JoeBiden Biden stated he will issue a punishable nationwide mask mandate &amp; plans to close the economy of the entir… https://t.co/vXxZ7HzAqE
Craig_M_Berardi,@JoeBiden If fair to ALL families then change your plan on social security! Drop FICA tax from 6.2% to 4% with no c… https://t.co/gzweccgm2Z
802unclesam,@JoeBiden On a more serious note... https://t.co/8Oakj4uJss
johnjray,"@JoeBiden Another lie, Joe? I'll do some research to check your accuracy. Anything you say seems to be a lie LOL"
Lv2Spin,@JoeBiden Spoken like a real leader!
Sugarrabbit1968,@JoeBiden Better save your money joe.. Lin wood is going to make you pay
jjjosey1,@JoeBiden such a liar !
Jamesscottcan,"@JoeBiden ""Stranger danger"" takes 2nd place now that Biden is on tour. ⬇️ https://t.co/aGcH6ulS2W"
EYraelc,@JoeBiden https://t.co/xFEuRbanRR
starry3y3s,@JoeBiden More lies? You couldn't even be a Senator for your constituents....
mark76445033,@JoeBiden BS
Frankwr57,"@JoeBiden Like Antifa, it's an idea I guess."
rocksncows,@JoeBiden So when you gonna hook me up will a multi million dollar contract to run something I have no experience i… https://t.co/NA4hIlxHSx
AAries122112,@JoeBiden @TammyB916 https://t.co/Hwg5rpMcbv
AngreeGod,@JoeBiden When was that 1930?
EhinScience,@JoeBiden 180 years ago is too long to remember.
wearelucidproj,@JoeBiden Presidential.
DeanCookJr,@JoeBiden https://t.co/Yu5ju0EebG
jkfellow23,@JoeBiden Rojas &amp;Immigrant protesters criticizing Obama-era deportations asked Biden to say he’d end all deportatio… https://t.co/k2WFwQAMQj
schristle2,@JoeBiden And what exactly have done? Except make your own family very rich.
NDTrouble,"@JoeBiden Joe, you must win the presidency. Save our country!"
AAndromedas,@JoeBiden https://t.co/iWeR6C4pgn
Barbara73063051,"@JoeBiden Ummm, YEAH, AND UUUhhhh  I Went I WENT TO COLLEGE I GRADUATED AT THE TOP OF MY CLASS  AND UMMM MY SON HUN… https://t.co/8Bk50b3tBK"
ProudAmericanle,"@JoeBiden No thanks. We want justice done for #CrossfireHurricane #Spygate #Razor which requires you, Hillary and Obama going to jail"
magg30314477,@JoeBiden https://t.co/lPsbj74sNv
singerto1,"@JoeBiden You can be President if Ukraine, Joe"
realgoon7,"@JoeBiden @jonjon01 You know what’s going to be great Joe, when you take your oath of office and you have your whol… https://t.co/5NAxFx4euC"
DonaldSwearin11,@JoeBiden Mottos and actions are 2 different things. Until you get the Russians to give each citizen 3.5 million li… https://t.co/l6ldrjohBM
TopCat4647,@JoeBiden Why put your main Lie on a Billboard???
AliciaVincler,@JoeBiden https://t.co/yaGtaaongO
emlamama,@JoeBiden Is that why your team called all Republicans horrible names? All you do is push me further in the other d… https://t.co/94oHb4bdeY
aliluvslife,@JoeBiden https://t.co/Eg0WRAMdr6
NikkiWa67298367,@JoeBiden Really? Are you for Bill Stevenson's family? The family you broke up when you had an affair with his wife… https://t.co/hETak7ApAj
802unclesam,@JoeBiden I’m just glad we still have the photo from 180 years ago... https://t.co/W4BuAJxTrI
Suesorrell1,@JoeBiden You haven't done crap in 47 years. Stop LYING.
BrentL1985,@JoeBiden Ya but that was back in 1887 joe.
ZSoleymani1984,"@JoeBiden شما درزمان اوباما,مشاور اوباما بودید و برای خانواده ها, شغل ایجاد نکردید و تعداد خانواده های فقیر افزایش… https://t.co/rK6mNBhIOy"
Jd581111,@JoeBiden Have you read your own tweets? Doesn't often sound like that. But what else would u say. I've been watchi… https://t.co/J1N8ZhZ4t2
Redtrumptrain21,@JoeBiden #Trump2020!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Cornpopsabadude,@JoeBiden They had billboards in the stone age?
Sugarrabbit1968,@JoeBiden Won't be my president because you will never be president
bible_leon,@JoeBiden How will you be a president for me when I do NOT support gay marriage!
